# id,dateTime,homeTeamId,awayTeamId,homeScore,awayScore,season
201,2023-11-05 19:30,1,2,110,108,2023/24
202,2023-11-07 19:30,3,1,99,105,2023/24
203,2023-12-01 19:30,4,5,112,114,2023/24
204,2023-12-10 20:00,6,7,101,98,2023/24
205,2024-01-15 19:00,8,9,115,111,2023/24
206,2024-02-20 19:30,10,2,102,107,2023/24

207,2024-10-20 19:30,1,3,118,112,2024/25
208,2024-10-22 19:30,5,4,109,104,2024/25
209,2024-11-02 20:00,7,6,103,99,2024/25
210,2024-11-10 19:00,9,8,108,112,2024/25
211,2024-12-05 19:30,2,10,120,102,2024/25
212,2024-12-20 19:30,6,1,105,111,2024/25

213,2023-03-10 19:30,11,12,112,104,2022/23
214,2023-03-12 19:30,3,11,118,115,2022/23
215,2023-03-15 19:00,12,1,101,110,2022/23
216,2023-03-18 20:00,9,12,105,102,2022/23
217,2023-03-22 19:30,11,1,111,113,2022/23
218,2023-03-25 19:30,12,11,99,107,2022/23
