# id,firstName,lastName,position,jerseyNumber,heightCm,weightKg,teamRef
101,LeBron,James,SF,23,206,113,1
102,Anthony,Davis,PF,3,208,115,1
103,D'Angelo,Russell,PG,1,193,88,1

104,Jayson,Tatum,SF,0,203,95,2
105,Jaylen,Brown,SG,7,198,101,2
106,Jrue,Holiday,PG,4,193,93,2

107,Stephen,Curry,PG,30,188,86,3
108,Klay,Thompson,SG,11,198,98,3
109,Draymond,Green,PF,23,198,104,3

110,Giannis,Antetokounmpo,PF,34,211,110,4
111,Damian,Lillard,PG,0,188,88,4
112,Khris,Middleton,SF,22,201,101,4

113,Nikola,Jokic,C,15,211,129,5
114,Jamal,Murray,PG,27,193,97,5
115,Aaron,Gordon,PF,50,203,107,5

116,Jimmy,Butler,SF,22,201,104,6
117,Bam,Adebayo,C,13,206,115,6
118,Tyler,Herro,SG,14,196,88,6

119,Kevin,Durant,SF,35,208,109,7
120,Devin,Booker,SG,1,196,93,7
121,Bradley,Beal,SG,3,193,94,7

122,Luka,Doncic,PG,77,201,104,8
123,Kyrie,Irving,PG,11,188,88,8
124,Derrick,Jones Jr.,SF,55,198,95,8

125,Jalen,Brunson,PG,11,185,86,9
126,Julius,Randle,PF,30,203,113,9
127,Josh,Hart,SG,3,196,97,9

128,DeMar,DeRozan,SF,11,198,100,10
129,Zach,LaVine,SG,8,196,91,10
130,Nikola,Vucevic,C,9,211,118,10

131,Scottie,Barnes,SF,4,203,102,11
132,Pascal,Siakam,PF,43,203,110,11
133,Fred,VanVleet,PG,23,183,89,11
134,OG,Anunoby,SF,3,201,105,11
135,Jakob,Poeltl,C,19,216,111,11

136,Victor,Wembanyama,C,1,224,109,12
137,Devin,Vassell,SG,24,196,90,12
138,Keldon,Johnson,SF,3,196,100,12
139,Tre,Jones,PG,33,185,86,12
140,Jeremy,Sochan,PF,10,203,104,12
